state,tworace,hhincome,white,ba,hhinc
Alabama,.89999998,36693,71.300003,22.700001,3.6693001
Alaska,4.6999998,55426,70.800003,24,5.5426002
Arizona,1.5,40965,87.699997,26,4.0964999
Arkansas,1.1,31798,81,17.4,3.1798
California,2.3,47243,77.5,29.799999,4.7242999
Colorado,1.8,50053,90.199997,36,5.0053
Connecticut,1.3,52887,85.400002,33.5,5.2887001
Delaware,1.3,50301,76.300003,28.1,5.0300999
District of Columbia,1.4,41539,36.200001,46.400002,4.1539001
Florida,1.2,38141,80.599998,25.799999,3.8141
Georgia,1,42508,67.5,25,4.2508001
Hawaii,20.1,49232,25.9,27,4.9232001
Idaho,1.4,38310,95.5,22.5,3.8310001
Illinois,1,47578,79.5,28.1,4.7578001
Indiana,1,41921,88.900002,22.200001,4.1921
Iowa,.89999998,42255,94.900002,24.6,4.2255001
Kansas,1.6,41097,89.300003,31,4.1097002
Kentucky,1,37184,90.300003,21.299999,3.7184
Louisiana,.80000001,33194,64.199997,22.299999,3.3194001
Maine,.89999998,38733,97.099998,23.700001,3.8733001
Maryland,1.4,55013,65.599998,37.200001,5.5012999
Massachusetts,1.2,49018,87.199997,37.599998,4.9018002
Michigan,1.4,46929,81.5,23.299999,4.6929002
Minnesota,1.4,52804,90.199997,32.700001,5.2803998
Mississippi,.60000002,33305,61.200001,19.299999,3.3304999
Missouri,1.2,43884,85.300003,26.6,4.3884001
Montana,1.5,32929,90.900002,24.9,3.2929001
Nebraska,1.1,42518,92.099998,26.799999,4.2518001
Nevada,2.4000001,45493,84.099998,21.200001,4.5493002
New Hampshire,.89999998,50866,96.300003,34,5.0865998
New Jersey,1.2,52137,77.300003,33.400002,5.2136998
New Mexico,1.4,34599,84.900002,23.700001,3.4598999
New York,1.4,42157,73.599998,29.6,4.2157001
North Carolina,1,39040,74.099998,23.799999,3.904
North Dakota,1,35830,92.5,25.200001,3.5829999
Ohio,1.2,42631,85.400002,25,4.2631001
Oklahoma,4,34554,78.400002,24.299999,3.4554
Oregon,2.3,42701,90.800003,26.4,4.2701001
Pennsylvania,.89999998,42320,86.400002,24.799999,4.2319999
Rhode Island,1.4,44825,89.199997,27.6,4.4825001
South Carolina,.80000001,38362,67.699997,22.299999,3.8362
South Dakota,1.2,38407,88.800003,23.9,3.8406999
Tennessee,.89999998,36542,80.800003,23.5,3.6542001
Texas,1,40547,83.599998,24.700001,4.0546999
Utah,1.3,48378,93.599998,28.4,4.8378
Vermont,1.1,41888,96.900002,31.299999,4.1887999
Virginia,1.5,49085,73.900002,34.200001,4.9085002
Washington,2.9000001,44835,85.5,28.799999,4.4835
West Virginia,.80000001,30342,95,15.3,3.0342
Wisconsin,1,46734,90.099998,24.1,4.6733999
Wyoming,1.2,40007,94.699997,20.700001,4.0007
