realweight,obsweight,athletic,practice
172.62154,143.44513,-5.9247479,0
164.89833,149.86508,-.035634615,1.2197396
93.244637,111.64212,-4.2126555,0
203.38919,208.47366,-.59444046,0
187.82344,160.5947,1.465378,2.8010402
198.95604,236.70065,6.830245,13.695829
162.8252,131.74608,9.6422777,14.913029
146.29887,167.04533,3.2465434,4.8406839
109.24613,111.2962,-1.0913817,0
196.49965,186.86673,-1.6849372,0
167.81398,167.65326,1.5264074,5.0914755
167.17798,186.81033,1.2929316,1.358496
217.55351,231.03711,3.3945827,3.0806985
175.92471,154.23148,-2.8752785,0
162.12834,155.30357,-8.4404726,0
168.23691,180.7648,-1.0733378,0
164.94615,163.62364,6.2425694,4.1429038
214.53729,207.09918,-3.0206122,0
158.43228,167.27199,4.4616718,5.3747416
184.90823,192.72397,-1.7766449,0
209.54405,211.17241,-3.5498035,0
109.94878,89.489746,9.4046822,13.240457
171.01674,163.59145,2.284121,3.4129102
152.30518,112.99506,.27497736,0
158.51382,157.72957,-1.4505693,0
149.53618,131.2287,-1.7895473,0
171.54578,179.46762,-2.7707245,0
185.69044,181.1339,.88358676,3.5295241
213.96475,218.67323,.1779549,.24474217
145.2166,138.22783,4.2256732,7.4546633
153.22899,139.59578,4.3539352,8.0085669
140.35417,160.55891,-5.6787577,0
184.19392,168.77576,.32787287,0
151.11644,132.79547,4.0757723,5.4394097
125.60843,97.222221,12.585351,17.557451
178.94217,172.82161,8.2227058,12.154937
190.63957,191.61549,-.0079777837,2.1738009
152.22136,142.5425,2.8177359,4.8061204
178.04706,162.63148,-.094394065,0
175.72092,202.98079,-1.024745,.029149219
185.01961,198.0596,.43283769,2.6405163
169.31248,148.8846,-1.1333338,0
195.08669,191.66887,-4.37609,0
183.5103,176.17104,-6.373559,0
217.93654,253.85452,-11.411824,0
151.21014,137.65555,.71857202,0
156.77579,185.07896,-2.4319949,0
182.82515,153.2359,2.4943848,5.8917904
124.80984,71.299789,6.3420544,10.988605
170.0038,207.98079,2.2301385,3.9777055
