id,hrs1,marital,childs,age,educ,sex,polviews,wwwhr,trustpeo,wantbest,advantge,goodlife,deckids,strsswrk,satjob7
2331,,married,three,71,18,male,moderate,,disagree,agree,neither agree nor disagree,disagree,,,
2003,,divorced,eight or more,69,11,male,moderate,,strongly agree,disagree,agree,,,,
1221,,married,three,40,19,male,,7,,,,,we decide together,strongly disagree,fairly satisfied
2051,,married,two,60,13,male,slghtly conservative,1,strongly agree,agree,strongly agree,,,,
2465,50,married,none,31,11,male,moderate,0,agree,agree,agree,,,,
546,60,married,none,37,19,male,liberal,3,agree,disagree,agree,strongly agree,,,
1291,40,never married,none,23,11,male,extremely liberal,,,,,agree,,,
732,25,widowed,three,86,11,male,moderate,,strongly agree,disagree,agree,agree,,,
303,,married,three,70,13,male,moderate,,disagree,strongly agree,agree,,,,
2700,40,married,two,42,12,male,slightly liberal,3,strongly agree,agree,agree,,,,
855,64,married,three,41,12,male,conservative,5,agree,agree,strongly agree,,,,
623,45,married,three,30,12,male,,20,,,,,sometimes me or sometimes my spouse,agree,fairly satisfied
159,60,married,two,43,13,male,slghtly conservative,1,strongly disagree,strongly agree,disagree,neither,,,
886,85,married,three,48,20,male,slghtly conservative,2,agree,neither agree nor disagree,disagree,,,,
2036,,widowed,six,70,12,male,,,,,,,,neither agree nor disagree,
2713,1,never married,none,24,16,male,,2,,,,,sometimes me or sometimes my spouse,agree,very satisfied
2129,,married,four,60,16,male,,2,,,,,we decide together,neither agree nor disagree,
2709,45,married,two,36,16,male,,5,,,,,we decide together,agree,very satisfied
1438,,never married,none,25,19,male,moderate,5,agree,agree,disagree,neither,,,
312,50,never married,none,44,12,male,moderate,,agree,agree,agree,,,,
1497,40,divorced,three,63,10,male,slightly liberal,,,,,neither,,,
985,40,divorced,three,56,15,male,,,,,,,,,
989,,never married,none,20,12,male,slghtly conservative,10,agree,agree,agree,,,,
2717,50,married,two,52,14,male,conservative,,strongly agree,agree,agree,,,,
1970,,never married,none,29,10,male,,,,,,,someone else,disagree,very satisfied
728,39,never married,none,25,14,male,,20,strongly agree,strongly agree,strongly agree,strongly disagree,,,
2735,,married,three,69,12,male,,0,,,,,sometimes me or sometimes my spouse,disagree,
1061,,never married,none,63,18,male,slghtly conservative,3,strongly agree,neither agree nor disagree,agree,agree,,,
2112,40,divorced,two,46,12,male,,9,,,,,,disagree,fairly satisfied
2451,48,married,three,48,12,male,,,,,,,we decide together,neither agree nor disagree,fairly satisfied
320,60,married,two,51,17,male,liberal,3,agree,neither agree nor disagree,disagree,agree,,,
2699,54,married,one,24,12,male,,15,,,,,we decide together,disagree,fairly satisfied
2698,40,divorced,none,38,12,male,moderate,,strongly agree,agree,agree,,,,
1926,70,separated,two,56,12,male,conservative,,strongly agree,agree,agree,,,,
2125,84,married,four,45,8,male,,20,,,,,we decide together,strongly disagree,very satisfied
1526,42,never married,two,35,12,male,,,,,,,,,
2491,55,married,one,33,10,male,,,,,,,,,
1267,10,divorced,two,52,14,male,slghtly conservative,5,neither agree nor disagree,agree,disagree,agree,,,
2032,52,divorced,two,60,14,male,slghtly conservative,12,strongly agree,neither agree nor disagree,agree,,,,
1652,40,married,none,40,16,male,,25,,,,,,disagree,very dissatisfied
1307,,married,two,63,12,male,moderate,4,strongly agree,agree,agree,strongly agree,,,
2682,,divorced,four,70,16,male,,10,,,,,,,
2681,47,married,two,34,16,male,,18,,,,,we decide together,agree,very satisfied
2001,,never married,none,64,6,male,,,,,,neither,,,
974,45,never married,none,26,17,male,,5,,,,,,disagree,fairly satisfied
2012,60,married,three,35,16,male,,9,,,,,sometimes me or sometimes my spouse,agree,very satisfied
208,,divorced,three,57,14,male,moderate,5,,,,disagree,,,
223,32,married,eight or more,40,12,male,liberal,,,,,strongly agree,,,
2230,66,never married,none,23,12,male,slightly liberal,0,agree,neither agree nor disagree,agree,,,,
1532,,married,two,62,16,male,conservative,6,agree,neither agree nor disagree,agree,agree,,,
872,,married,two,69,8,male,moderate,,agree,agree,strongly agree,disagree,,,
1297,30,never married,none,22,12,male,liberal,,agree,neither agree nor disagree,agree,,,,
529,48,married,one,32,12,male,moderate,0,strongly agree,agree,agree,agree,,,
1732,45,divorced,none,44,2,male,moderate,14,agree,agree,agree,strongly agree,,,
2653,55,married,one,43,12,male,,1,,,,,we decide together,agree,completely satisfied
1605,50,never married,none,23,16,male,,10,,,,,,neither agree nor disagree,neither satisfied nor dissatisfied
2550,40,married,two,36,16,male,moderate,5,strongly agree,agree,strongly agree,,,,
1643,12,married,eight or more,84,4,male,,,,,,,,,
1822,,married,three,76,16,male,conservative,0,,,,strongly agree,,,
736,40,married,none,47,14,male,,,,,,,,neither agree nor disagree,completely satisfied
