snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat
906,41,693,600,93,67,9,No,11,16,22,0,0,0,0,0,,76,24,247,47-80% free meals,1
889,41,570,501,69,92,21,No,33,15,32,0,0,0,0,0,,79,19,463,81-100% free meals,1
887,41,546,472,74,97,29,No,36,17,25,0,0,0,0,0,,68,29,395,81-100% free meals,1
876,41,571,487,84,90,27,No,27,20,30,36,45,9,9,0,1.91,87,11,418,81-100% free meals,1
888,41,478,425,53,89,30,No,44,18,31,50,50,0,0,0,1.5,87,13,520,81-100% free meals,1
4284,98,858,844,14,10,3,No,10,20,33,1,8,24,36,31,3.8900001,100,0,343,0-46% free meals,2
4271,98,918,864,54,5,2,No,16,19,28,1,4,18,34,43,4.1300001,100,0,303,0-46% free meals,2
2910,108,831,791,40,2,3,No,44,20,31,0,4,16,50,30,4.0599999,96,2,1513,0-46% free meals,2
2899,108,860,838,22,5,6,No,10,20,30,2,9,15,42,33,3.96,100,0,660,0-46% free meals,2
2887,108,737,703,34,29,15,No,17,21,29,8,25,34,27,7,2.98,96,7,362,0-46% free meals,3
2911,108,851,808,43,1,2,No,16,20,30,0,3,16,45,37,4.1500001,100,2,768,0-46% free meals,2
2882,108,536,496,40,71,69,No,8,21,27,61,15,6,10,8,1.9,100,6,404,47-80% free meals,1
2907,108,847,815,32,3,2,No,11,20,29,1,5,17,41,37,4.0799999,97,3,586,0-46% free meals,2
2908,108,765,711,54,13,8,No,19,21,27,5,34,27,31,3,2.9300001,98,2,633,0-46% free meals,3
2895,108,809,802,7,7,8,No,16,20,31,5,27,25,37,6,3.1199999,89,7,379,0-46% free meals,3
2880,108,813,780,33,22,11,No,12,21,32,10,35,23,27,6,2.8399999,100,0,417,0-46% free meals,2
2890,108,856,816,40,7,6,No,13,21,29,1,10,15,42,32,3.95,100,0,670,0-46% free meals,2
3948,131,712,677,35,40,12,Yes,19,19,30,14,30,31,19,6,2.71,85,12,589,0-46% free meals,3
3956,131,805,759,46,10,1,No,26,21,31,2,16,41,29,12,3.3099999,93,7,770,0-46% free meals,3
3947,131,678,632,46,37,16,Yes,16,20,32,12,27,29,27,6,2.8699999,83,15,694,0-46% free meals,3
3952,131,619,570,49,57,25,Yes,24,19,31,19,25,29,20,6,2.6800001,75,25,611,47-80% free meals,3
3954,131,713,704,9,29,14,Yes,14,20,30,11,29,28,26,7,2.8800001,80,15,594,0-46% free meals,3
3943,131,704,618,86,57,19,Yes,22,20,30,15,32,35,14,5,2.6199999,69,29,564,47-80% free meals,3
3945,131,523,452,71,69,43,Yes,31,19,29,32,34,18,12,4,2.22,71,29,645,47-80% free meals,2
4293,135,655,632,23,65,44,No,21,20,29,0,0,0,0,0,,100,0,414,47-80% free meals,1
4299,135,523,441,82,74,52,Yes,23,19,28,0,0,0,100,0,4,87,13,631,47-80% free meals,1
4318,135,521,473,48,74,63,No,15,19,31,0,0,0,0,0,,94,3,343,47-80% free meals,1
4319,135,709,701,8,18,16,No,20,17,27,0,0,0,0,0,,96,7,404,0-46% free meals,1
4296,135,505,452,53,75,59,No,27,19,30,0,0,0,0,0,,94,6,504,47-80% free meals,1
4317,135,762,744,18,18,16,No,15,20,30,0,100,0,0,0,2,100,0,512,0-46% free meals,1
4322,135,722,684,38,11,21,No,20,20,28,0,0,0,0,0,,95,5,637,0-46% free meals,1
4307,135,603,520,83,71,54,No,19,19,30,50,25,25,0,0,1.75,88,15,594,47-80% free meals,3
4302,135,657,579,78,67,36,No,17,19,30,22,44,33,0,0,2.1099999,100,0,500,47-80% free meals,3
4314,135,705,655,50,46,42,No,32,17,27,0,0,0,100,0,4,96,0,320,0-46% free meals,1
4292,135,754,748,6,25,25,No,18,20,27,13,40,33,0,13,2.5999999,100,4,309,0-46% free meals,3
4304,135,490,431,59,71,54,No,25,23,30,0,0,0,0,0,,65,43,748,47-80% free meals,1
4308,135,698,680,18,44,18,No,21,19,29,100,0,0,0,0,1,100,0,527,0-46% free meals,1
600,140,843,805,38,25,6,No,17,20,32,6,35,22,28,9,2.98,91,6,465,0-46% free meals,2
596,140,800,769,31,56,6,No,41,19,30,9,32,32,21,5,2.8199999,94,6,451,47-80% free meals,3
611,140,857,857,0,13,4,No,12,20,32,4,11,35,31,19,3.48,100,0,432,0-46% free meals,3
595,140,713,664,49,63,35,No,15,21,32,40,29,15,12,4,2.0899999,92,8,524,47-80% free meals,2
592,140,804,873,-69,38,8,No,33,21,35,10,30,35,20,5,2.79,97,3,427,0-46% free meals,3
602,140,864,831,33,24,5,No,35,21,35,4,19,33,30,14,3.3099999,100,3,562,0-46% free meals,3
5222,166,940,917,23,0,2,No,3,20,31,0,0,4,28,67,4.6199999,90,0,305,0-46% free meals,1
5210,166,792,779,13,9,3,No,19,20,31,2,5,17,38,38,4.0500002,84,0,467,0-46% free meals,2
5217,166,887,882,5,3,5,No,14,21,31,0,4,7,32,57,4.4200001,93,10,520,0-46% free meals,1
3644,209,775,726,49,26,13,No,18,21,33,4,10,35,36,16,3.51,93,7,816,0-46% free meals,3
3643,209,822,766,56,16,10,Yes,47,21,32,1,11,29,38,19,3.6300001,95,3,830,0-46% free meals,3
3624,209,806,745,61,21,6,Yes,25,19,30,5,30,28,21,16,3.1199999,90,5,487,0-46% free meals,3
3623,209,816,745,71,16,6,No,18,19,32,6,17,27,36,14,3.3499999,100,0,307,0-46% free meals,3
3629,209,553,485,68,86,38,Yes,32,20,32,33,28,27,8,4,2.2,95,5,819,81-100% free meals,3
3622,209,686,633,53,75,33,Yes,24,21,32,32,35,16,14,3,2.21,98,2,744,47-80% free meals,2
4017,238,483,444,39,79,40,Yes,24,20,28,37,27,27,7,3,2.1300001,87,13,672,47-80% free meals,3
58,248,801,765,36,20,12,No,18,19,30,7,16,25,36,15,3.3499999,89,14,416,0-46% free meals,3
