respnum,com3,epht3,finalwt,finalwt2,env_con,male,hlthprob,inc,inclog,educat
100001,(3) in the middle,(2) somewhat concerned,969.78925,1.6028934,2.909091,0,0,60000,11.0021,12
100004,(5) very strongly a part of the community,(2) somewhat concerned,384.80768,.6360203,3.3636363,0,1,40000,10.596635,16
100005,(5) very strongly a part of the community,(2) somewhat concerned,91.074669,.15053062,3.7272727,0,0,13750,9.5287943,12
100006,(5) very strongly a part of the community,(2) somewhat concerned,5000,8.2641325,4,1,0,11250,9.3281231,13
100007,(4),(2) somewhat concerned,27.083897,.044764977,2.8888888,0,0,6250,8.7403364,11
100008,(3) in the middle,(3) very concerned,82.334473,.13608459,2.2727273,1,1,40000,10.596635,12
100009,(4),(3) very concerned,287.1871,.47467041,2.6363637,0,0,,,16
100010,(2),(3) very concerned,137.17711,.22672996,2.3333333,0,0,27500,10.221941,14
100011,(5) very strongly a part of the community,(3) very concerned,55.970238,.092509083,1.7272727,0,1,50000,10.819778,20
100013,(3) in the middle,(2) somewhat concerned,789.04419,1.3041531,3.4545455,0,0,,,13
100014,(3) in the middle,(3) very concerned,801.29041,1.324394,1.7272727,0,0,80000,11.289782,13
100015,(3) in the middle,(4) extremely concerned,92.169479,.15234016,2,0,1,11250,9.3281231,12
100016,(3) in the middle,(2) somewhat concerned,384.32297,.63521916,3.8181818,1,0,,,13
100017,(5) very strongly a part of the community,(2) somewhat concerned,142.48253,.23549889,3.909091,0,0,40000,10.596635,8
100018,(3) in the middle,(2) somewhat concerned,1170.0347,1.9338641,3,0,0,8750,9.0768089,9
100019,(4),(2) somewhat concerned,119.01213,.19670638,3.2727273,0,1,40000,10.596635,14
100020,(3) in the middle,(2) somewhat concerned,339.4173,.56099784,3.2727273,1,0,60000,11.0021,11
100021,(5) very strongly a part of the community,(2) somewhat concerned,3546.5452,5.8618236,2.4000001,1,0,60000,11.0021,16
100022,(3) in the middle,(4) extremely concerned,23.657125,.039101124,3.375,1,0,40000,10.596635,12
100024,(3) in the middle,(2) somewhat concerned,1704.1417,2.8166504,2.090909,0,1,40000,10.596635,16
100025,(4),(2) somewhat concerned,124.88913,.20642005,3.5454545,0,0,32500,10.388995,12
100026,(2),(2) somewhat concerned,153.27779,.25334159,2.6363637,0,0,17500,9.7699566,12
100027,(5) very strongly a part of the community,(1) not at all concerned,55.861328,.092329077,3.5454545,1,0,50000,10.819778,12
100029,(5) very strongly a part of the community,(4) extremely concerned,707.9234,1.1700745,3.090909,0,1,50000,10.819778,13
100030,(4),(3) very concerned,726.57513,1.2009026,2.6363637,0,0,125000,11.736069,20
100031,(3) in the middle,(2) somewhat concerned,1324.9177,2.1898589,3,1,0,32500,10.388995,13
100032,(4),(3) very concerned,553.48724,.91481829,1.2727273,1,1,13750,9.5287943,14
100033,(5) very strongly a part of the community,(4) extremely concerned,1666.1311,2.7538257,3.1818182,1,0,17500,9.7699566,12
100034,(4),(3) very concerned,443.64758,.73327243,2.2727273,0,0,80000,11.289782,12
100036,(3) in the middle,(2) somewhat concerned,660.89349,1.0923423,1.8888888,0,1,8750,9.0768089,13
100037,(3) in the middle,(2) somewhat concerned,273.51715,.45207641,3,1,0,70000,11.156251,12
100038,(3) in the middle,(4) extremely concerned,227.76077,.37644902,2.4444444,1,0,32500,10.388995,11
100039,(3) in the middle,(3) very concerned,88.074738,.14557226,3.5454545,0,0,70000,11.156251,12
100040,(5) very strongly a part of the community,(1) not at all concerned,98.382729,.16260958,3.8,0,0,17500,9.7699566,13
100041,(1) not at all a part of the community,(3) very concerned,192.79922,.31866366,3.4000001,0,1,40000,10.596635,11
100042,(4),(2) somewhat concerned,57.293789,.094696693,3.1818182,0,0,,,12
100043,(1) not at all a part of the community,(2) somewhat concerned,39.471016,.065238737,2.875,0,0,2500,7.8240461,11
100044,(3) in the middle,(2) somewhat concerned,327.08234,.54061031,3.2727273,0,1,6250,8.7403364,12
100045,(4),(2) somewhat concerned,287.1871,.47467041,3.090909,0,0,112500,11.630709,20
