,PS_code,PS_name,health_board,council_area,urban,total_pop,pcnt_overcrowding,pcnt_male_unemp,pcnt_no_car,pcnt_low_class,z_overcrowding,z_male_unemp,z_no_car,z_low_class,carstairs,pcnt_limited_lot,pcnt_no_llti,pcnt_bad_health,pcnt_good_health,all_house,owned,rent,rent_social,rent_private,quintile,decile,pop_16plus,no_qual,level1,level2,level3,level4,pop_16_74,work_pt,work_ft,work_se,student,retired,staying_home,sick_disabled,unemployed,pop_4plus,work_home,light_rail,train,bus,taxi,drive,drive_pass,motorcycle,bicycle,on_foot,other.transport,travel_2,travel_2_5,travel_5_10,travel_10_20,travel_20_30,travel_30_40,travel_40_60,travel_60,other.distance,pcnt_no_qual,pcnt_level1,pcnt_level2,pcnt_level3,pcnt_level4,pcnt_work_pt,pcnt_work_ft,pcnt_work_se,pcnt_sick_disabled,pcnt_staying_home,pcnt_unemployed,pcnt_work_home,pcnt_light_rail,pcnt_train,pcnt_bus,pcnt_taxi,pcnt_drive,pcnt_drive_pass,pcnt_motorcycle,pcnt_bicycle,pcnt_on_foot,pcnt_other.transport,pcnt_travel_2,pcnt_travel_2_5,pcnt_travel_5_10,pcnt_travel_10_20,pcnt_travel_20_30,pcnt_travel_30_40,pcnt_travel_40_60,pcnt_travel_60
1,S29000001,AB10 1,Grampian,Aberdeen City,Urban,2284,2.807017544,3.995299647,45.61403509,15.34419338,-0.244331474,-1.062802594,1.649922404,-0.433106357,-0.090318022,6.797889171,82.33485642,4.832067421,82.55990105,1347,513,834,269,565,3,6,2126,276,303,360,223,964,2042,150,1023,112,473,116,34,60,74,1855,148,1,22,302,16,463,67,4,32,750,50,672,565,209,49,21,2,13,16,160,12.98212606,14.25211665,16.9332079,10.48918156,45.34336783,7.345739471,50.09794319,5.484818805,2.938295788,1.66503428,3.623898139,7.978436658,0.053908356,1.185983827,16.28032345,0.862533693,24.95956873,3.611859838,0.215633423,1.725067385,40.43126685,2.69541779,36.22641509,30.45822102,11.26684636,2.641509434,1.132075472,0.107816712,0.700808625,0.862533693
2,S29000002,AB10 6,Grampian,Aberdeen City,Urban,10737,1.897300359,3.233256351,23.44723428,8.12810378,-0.732875098,-1.242742821,0.053030964,-1.346539019,-3.269125974,4.687591488,85.91956707,2.644455905,88.27666932,5840,3580,2260,367,1893,1,2,9472,833,1319,1319,986,5015,8790,769,4916,636,1065,694,248,132,330,8199,646,3,56,1002,63,3083,417,22,203,2529,175,2144,3331,850,424,93,12,22,69,608,8.794341216,13.92525338,13.92525338,10.40962838,52.94552365,8.748577929,55.92718999,7.235494881,1.501706485,2.821387941,3.754266212,7.879009635,0.036589828,0.683010123,12.22100256,0.768386389,37.6021466,5.085986096,0.268325406,2.475911697,30.84522503,2.134406635,26.14953043,40.62690572,10.36711794,5.171362361,1.134284669,0.146359312,0.268325406,0.841566045
3,S29000003,AB10 7,Grampian,Aberdeen City,Urban,8987,4.068181818,4.460541365,26.63636364,16.51791326,0.432949087,-0.952945712,0.282775139,-0.284533635,-0.521755122,8.325318356,80.77791722,4.435341441,82.74244222,4371,2328,2043,1111,932,3,5,7812,1761,1561,1075,786,2629,6828,825,2971,337,1075,821,222,250,327,5952,493,1,17,1078,44,2285,441,29,110,1347,107,1112,2826,671,266,65,4,14,44,457,22.5422427,19.98207885,13.7608807,10.06144393,33.65335381,12.08260105,43.51200937,4.935559461,3.661394259,3.251318102,4.789103691,8.282930108,0.016801075,0.28561828,18.11155914,0.739247312,38.39045699,7.409274194,0.487231183,1.84811828,22.63104839,1.797715054,18.6827957,47.47983871,11.27352151,4.469086022,1.092069892,0.067204301,0.235215054,0.739247312
4,S29000004,AB11 5,Grampian,Aberdeen City,Urban,1855,6.202804746,4.993429698,55.60949299,20.46250876,1.579301424,-0.827115529,2.369992985,0.214784218,3.336963098,6.977854574,79.08228966,5.402659979,80.63751547,1064,316,748,243,505,5,9,1734,172,291,296,218,757,1704,123,828,78,464,53,21,55,82,1542,162,0,35,308,14,321,51,7,30,581,33,461,506,137,87,12,4,6,18,149,9.919261822,16.78200692,17.07035755,12.57208766,43.65628604,7.218309859,48.5915493,4.577464789,3.227699531,1.232394366,4.812206573,10.50583658,0,2.269779507,19.97405966,0.907911803,20.81712062,3.307392996,0.453955901,1.945525292,37.67833982,2.140077821,29.89623865,32.81452659,8.884565499,5.642023346,0.778210117,0.259403372,0.389105058,1.167315175
5,S29000005,AB11 6,Grampian,Aberdeen City,Urban,6424,3.187510164,4.038946989,32.4768255,10.67112846,-0.039996273,-1.052496208,0.703520723,-1.024635892,-1.41360765,5.396619447,85.21627624,3.326488746,86.7309366,3530,1644,1886,252,1634,2,4,5934,450,795,871,686,3132,5775,354,3355,374,1004,168,115,110,295,5327,510,1,121,821,49,1611,194,14,100,1764,142,1662,1698,506,355,62,12,18,53,451,7.583417594,13.39737108,14.67812605,11.56049882,52.78058645,6.12987013,58.0952381,6.476190476,1.904761905,1.991341991,5.108225108,9.573868969,0.018772292,2.271447344,15.41205181,0.919842313,30.24216257,3.641824667,0.262812089,1.87722921,33.11432326,2.665665478,31.19954946,31.87535198,9.498779801,6.664163694,1.16388211,0.225267505,0.337901258,0.994931481
6,S29000006,AB11 7,Grampian,Aberdeen City,Urban,2616,1.428571429,1.533406353,11.54440154,4.081632653,-0.98459567,-1.644126043,-0.80444648,-1.858752571,-5.291920765,4.635021894,87.41219511,2.294974071,89.43120406,1264,929,335,11,324,1,1,2231,224,287,259,251,1210,2041,223,1065,184,211,199,94,14,51,1913,173,3,21,126,17,831,117,2,57,507,59,560,657,181,131,27,0,11,13,160,10.04034065,12.86418646,11.60914388,11.25056029,54.23576871,10.92601666,52.18030377,9.015188633,0.685938266,4.605585497,2.49877511,9.04338735,0.156821746,1.097752222,6.58651333,0.88865656,43.43962363,6.116048092,0.104547831,2.979613173,26.50287507,3.084161004,29.27339258,34.34396236,9.461578672,6.847882906,1.411395714,0,0.575013068,0.679560899
7,S29000007,AB11 8,Grampian,Aberdeen City,Urban,6821,8.817726514,8.59088528,43.19320079,31.73455979,2.9835877,0.022346668,1.475526035,1.641631741,6.123092143,11.28667483,77.05662727,7.603382487,76.18462819,3084,1028,2056,1697,359,5,10,5519,1903,1658,551,478,929,5161,743,2220,173,385,505,224,333,578,4360,433,0,16,745,47,1249,342,13,54,1392,69,1431,1501,369,170,40,2,9,21,384,34.48088422,30.04167422,9.983692698,8.66098931,16.83275956,14.3964348,43.01491959,3.352063554,6.452237938,4.340244139,11.19937997,9.931192661,0,0.366972477,17.08715596,1.077981651,28.64678899,7.844036697,0.298165138,1.23853211,31.9266055,1.582568807,32.82110092,34.4266055,8.463302752,3.899082569,0.917431193,0.04587156,0.206422018,0.481651376
8,S29000008,AB11 9,Grampian,Aberdeen City,Urban,3471,8.493870403,7.765451664,45.32983071,27.86006934,2.809667892,-0.172561827,1.629448383,1.15118798,5.417742427,8.649958458,79.6147865,6.204948636,78.89148823,1949,724,1225,733,492,5,10,3043,802,821,292,343,785,2859,298,1549,120,227,178,83,159,245,2425,241,1,18,406,23,797,192,11,60,635,41,610,871,261,130,35,6,9,24,238,26.35557016,26.97995399,9.595793625,11.27177128,25.79691094,10.4232249,54.17978314,4.197271773,5.5613851,2.903112977,8.569429871,9.93814433,0.041237113,0.742268041,16.74226804,0.948453608,32.86597938,7.917525773,0.453608247,2.474226804,26.18556701,1.690721649,25.15463918,35.91752577,10.7628866,5.360824742,1.443298969,0.24742268,0.371134021,0.989690722
9,S29000009,AB12 3 (part) Aberdeen City,Grampian,Aberdeen City,Urban,8171,1.750708914,2.261123268,7.286401184,11.82660987,-0.811598813,-1.472291257,-1.111191887,-0.878371847,-4.273453803,6.08264469,84.68027537,2.989205401,85.95993012,3477,2978,499,255,244,1,1,6725,1244,2014,993,765,1709,6385,930,3503,469,366,654,169,115,179,6240,394,0,5,886,87,3377,600,32,60,634,165,972,1617,2036,518,36,13,14,42,598,18.49814126,29.94795539,14.76579926,11.37546468,25.41263941,14.56538763,54.86296006,7.345340642,1.801096319,2.646828504,2.803445576,6.314102564,0,0.080128205,14.19871795,1.394230769,54.11858974,9.615384615,0.512820513,0.961538462,10.16025641,2.644230769,15.57692308,25.91346154,32.62820513,8.301282051,0.576923077,0.208333333,0.224358974,0.673076923
10,S29000010,AB12 3 (part) Aberdeenshire,Grampian,Aberdeenshire,Rural,149,0,2.272727273,1.342281879,2.684563758,-1.751778565,-1.46955122,-1.53940493,-2.035597432,-6.796332146,7.184981685,84.58401598,4.333333333,86.47738928,57,55,2,1,1,1,1,122,20,32,18,8,44,116,12,42,16,10,28,5,1,2,101,11,0,2,20,2,53,7,1,0,3,2,0,31,24,19,2,1,3,2,8,16.39344262,26.2295082,14.75409836,6.557377049,36.06557377,10.34482759,36.20689655,13.79310345,0.862068966,4.310344828,1.724137931,10.89108911,0,1.98019802,19.8019802,1.98019802,52.47524752,6.930693069,0.99009901,0,2.97029703,1.98019802,0,30.69306931,23.76237624,18.81188119,1.98019802,0.99009901,2.97029703,1.98019802
