year,judgeid,lastname,appointed,yearsexp,court,retscore,cjdworst,anyscandal,minority,sex,revrate,rank
2004,silver,Silver,1,1,municipal court,56,no complaint,0,white,female,0,4
2006,silver,Silver,1,3,municipal court,51,no complaint,0,white,female,0,4
2008,silver,Silver,1,5,justice court,55,no complaint,0,white,female,0,4
2002,earl,Earl,1,1,district court,92,no complaint,0,white,male,.10989011,1
2004,earl,Earl,1,3,district court,89,no complaint,0,white,male,.10989011,1
2006,earl,Earl,1,5,district court,91,no complaint,0,white,male,.10989011,1
2008,earl,Earl,1,7,district court,91,no complaint,0,white,male,.10989011,1
2002,zimmerman,Zimmerman,0,2,justice court,79,no complaint,0,white,female,0,3
2004,zimmerman,Zimmerman,0,4,justice court,79,no complaint,0,white,female,0,3
2006,zimmerman,Zimmerman,0,6,justice court,77,no complaint,0,white,female,0,3
2008,zimmerman,Zimmerman,0,8,justice court,68,no complaint,0,white,female,0,3
2002,del vecchio,Del Vecchio,0,1,family court,83,removal from bench,1,white,male,.083333336,4
2004,del vecchio,Del Vecchio,0,3,family court,83,removal from bench,1,white,male,.083333336,4
2006,del vecchio,Del Vecchio,0,5,family court,77,removal from bench,1,white,male,.083333336,4
2008,del vecchio,Del Vecchio,0,7,family court,41,removal from bench,1,white,male,.083333336,4
2000,ritchie,Ritchie,1,1,family court,91,no complaint,0,white,male,.071428575,1
2002,ritchie,Ritchie,1,3,family court,93,no complaint,0,white,male,.071428575,1
2004,ritchie,Ritchie,1,5,family court,95,no complaint,0,white,male,.071428575,1
2006,ritchie,Ritchie,1,7,family court,89,no complaint,0,white,male,.071428575,1
2008,ritchie,Ritchie,1,9,family court,88,no complaint,0,white,male,.071428575,1
2000,"brown, b",Brown,0,1,municipal court,87,no complaint,0,white,male,0,2
2002,"brown, b",Brown,0,3,municipal court,91,no complaint,0,white,male,0,2
2004,"brown, b",Brown,0,5,municipal court,89,no complaint,0,white,male,0,2
2006,"brown, b",Brown,0,7,municipal court,94,no complaint,0,white,male,0,2
2008,"brown, b",Brown,0,9,municipal court,90,no complaint,0,white,male,0,2
1998,kerns,Kerns,0,1,municipal court,94,no complaint,0,white,male,0,2
2000,kerns,Kerns,0,3,municipal court,94,no complaint,0,white,male,0,2
2002,kerns,Kerns,0,5,municipal court,87,no complaint,0,white,male,0,2
2004,kerns,Kerns,0,7,municipal court,86,no complaint,0,white,male,0,2
2006,kerns,Kerns,0,9,municipal court,83,no complaint,0,white,male,0,2
2008,kerns,Kerns,0,11,municipal court,83,no complaint,0,white,male,0,2
1998,springer,Springer,0,17,supreme court,48,no complaint,0,white,male,.2,1
2002,moss,Moss,0,2,family court,65,no complaint,0,white,female,.041666668,2
2004,moss,Moss,0,4,family court,52,no complaint,0,white,female,.041666668,2
2006,moss,Moss,0,6,family court,46,no complaint,0,white,female,.041666668,2
2008,moss,Moss,0,8,family court,52,no complaint,0,white,female,.041666668,2
1998,young,Young,0,13,supreme court,62,no complaint,0,white,male,.23999999,1
2000,young,Young,0,15,supreme court,60,no complaint,0,white,male,.23999999,1
2002,young,Young,0,17,supreme court,80,no complaint,0,white,male,.23999999,1
1998,steele,Steel,0,2,family court,75,no complaint,0,white,female,.15789473,4
2000,steele,Steel,0,4,family court,68,no complaint,0,white,female,0,4
2002,steele,Steel,0,6,family court,60,no complaint,0,white,female,0,4
2004,steele,Steel,0,8,family court,56,no complaint,0,white,female,0,4
2006,steele,Steel,0,10,family court,53,no complaint,0,white,female,0,4
2008,steele,Steel,0,12,family court,60,no complaint,0,white,female,0,4
2008,barker,Barker,1,1,district court,92,no complaint,0,white,male,.083333336,2
2004,wall,Wall,0,2,district court,92,no complaint,0,white,male,.08421053,2
2006,wall,Wall,0,4,district court,90,no complaint,0,white,male,.08421053,2
2008,wall,Wall,0,6,district court,88,no complaint,0,white,male,.08421053,2
2000,agosti,Agosti,0,18,supreme court,86,no complaint,0,white,female,.31481481,2
2002,agosti,Agosti,0,20,supreme court,84,no complaint,0,white,female,.31481481,2
2004,agosti,Agosti,0,22,supreme court,44,no complaint,0,white,female,.31481481,2
1998,lippis,Lippis,0,6,justice court,88,no complaint,0,white,female,0,1
2000,lippis,Lippis,0,8,justice court,90,no complaint,0,white,female,0,1
2002,lippis,Lippis,0,10,justice court,86,no complaint,0,white,female,0,1
2004,lippis,Lippis,0,12,justice court,87,no complaint,0,white,female,0,1
2006,lippis,Lippis,0,14,justice court,87,no complaint,0,white,female,0,1
2008,lippis,Lippis,0,16,family court,91,no complaint,0,white,female,0,1
2006,hampton,Hampton,0,0,municipal court,44,no complaint,0,white,female,0,4
2008,hampton,Hampton,0,2,municipal court,57,no complaint,0,white,female,0,4
1998,chairez,Chairez,1,3,district court,69,no complaint,0,racial minority,male,.26086956,1
1998,mosley,Mosley,0,15,district court,76,censure & course & fine,1,white,male,.15538847,4
2000,mosley,Mosley,0,17,district court,68,censure & course & fine,1,white,male,.15538847,4
2002,mosley,Mosely,0,19,district court,65,censure & course & fine,1,white,male,.15538847,4
2004,mosley,Mosley,0,21,district court,63,censure & course & fine,1,white,male,.15538847,4
2006,mosley,Mosley,0,23,district court,66,censure & course & fine,1,white,male,.15538847,4
2008,mosley,Mosley,0,25,district court,56,censure & course & fine,1,white,male,.15538847,4
2004,hedger,Hedger,0,1,municipal court,86,no complaint,0,white,male,0,2
2006,hedger,Hedger,0,3,municipal court,66,no complaint,0,white,male,0,2
2008,hedger,Hedger,0,5,municipal court,75,no complaint,0,white,male,0,2
2006,herndon,Herndon,1,1,district court,90,no complaint,0,white,male,.04040404,1
2008,herndon,Herndon,1,3,district court,88,no complaint,0,white,male,.04040404,1
1998,smith,Smith,0,3,justice court,84,complaint dismissed,0,white,male,0,4
2000,smith,Smith,0,5,justice court,80,complaint dismissed,0,white,male,0,4
2002,smith,Smith,0,7,justice court,76,complaint dismissed,0,white,male,0,4
2004,smith,Smith,0,9,justice court,71,complaint dismissed,0,white,male,0,4
2006,smith,Smith,0,11,justice court,72,complaint dismissed,0,white,male,0,4
2008,smith,Smith,0,13,justice court,66,complaint dismissed,0,white,male,0,4
2008,cadish,Cadish,1,1,district court,82,no complaint,0,white,female,0,1
2006,gonzalez,Gonzalez,1,2,district court,82,no complaint,0,white,female,.096774191,1
2008,gonzalez,Gonzalez,1,4,district court,82,no complaint,0,white,female,.096774191,1
2008,halverson,Halverson,0,1,district court,8,removal from bench,1,white,female,0,1
2002,kolkoski,Kolkoski,0,2,municipal court,53,no complaint,0,white,female,0,2
2004,kolkoski,Kolkoski,0,4,municipal court,71,no complaint,0,white,female,0,2
2006,kolkoski,Kolkoski,0,6,municipal court,58,no complaint,0,white,female,0,2
2008,kolkoski,Kolkoski,0,8,municipal court,64,no complaint,0,white,female,0,2
1998,fine,Fine,0,5,family court,24,removal from bench,0,white,male,.40000001,4
1998,redmon,Redmon,0,1,family court,63,no complaint,,white,male,.2,1
2000,redmon,Redmon,0,3,district court,66,no complaint,0,white,male,.2,1
1998,porter,Porter,1,3,district court,79,no complaint,1,white,male,.18978103,1
2000,porter,Porter,1,5,district court,80,no complaint,1,white,male,.18978103,1
2002,porter,Porter,1,7,district court,80,no complaint,1,white,male,.18978103,1
2004,assad,Assad,1,2,municipal court,59,public reprimand,1,racial minority,male,0,2
2006,assad,Assad,1,4,municipal court,67,public reprimand,1,racial minority,male,0,2
2008,assad,Assad,1,6,municipal court,44,public reprimand,1,racial minority,male,0,2
1998,"hardcastle, g",Hardcastle,0,5,family court,77,no complaint,0,white,male,.060606062,2
2000,"hardcastle, g",Hardcastle,0,7,family court,56,no complaint,0,white,male,.060606062,2
2002,"hardcastle, g",Hardcastle,0,9,family court,63,no complaint,0,white,male,.060606062,2
2004,"hardcastle, g",Hardcastle,0,11,family court,74,no complaint,0,white,male,.060606062,2
2006,"hardcastle, g",Hardcastle,0,13,family court,60,no complaint,0,white,male,.060606062,2
2008,"hardcastle, g",Hardcastle,0,15,family court,54,no complaint,0,white,male,.060606062,2
1998,sanchez,Sanchez,0,5,family court,81,required course,0,white,female,.037037037,2
2000,sanchez,Sanchez,0,7,family court,89,required course,0,white,female,.037037037,2
2002,sanchez,Sanchez,0,9,family court,87,required course,0,white,female,.037037037,2
2004,sanchez,Sanchez,0,11,family court,91,required course,0,white,female,.037037037,2
2006,sanchez,Sanchez,0,13,family court,94,required course,0,white,female,.037037037,2
2008,sanchez,Sanchez,0,15,family court,97,required course,0,white,female,.037037037,2
1998,lehman,Lehman,1,10,district court,71,no complaint,0,white,male,.16981132,1.9553545
2000,lehman,Lehman,1,12,district court,63,no complaint,0,white,male,.16981132,1.9322498
2002,lehman,Lehman,1,14,district court,72,no complaint,0,white,male,.16981132,1.9091451
2004,glass,Glass,0,1,district court,80,no complaint,0,white,female,.086734697,2
2006,glass,Glass,0,3,district court,71,no complaint,0,white,female,.086734697,2
2008,glass,Glass,0,5,district court,62,no complaint,0,white,female,.086734697,2
1998,bixler,Bixler,0,18,justice court,93,no complaint,,white,male,.055555556,1
2000,bixler,Bixler,0,20,justice court,90,no complaint,0,white,male,.055555556,1
2002,bixler,Bixler,0,22,justice court,93,no complaint,0,white,male,.055555556,1
2004,bixler,Bixler,0,24,justice court,96,no complaint,0,white,male,.055555556,1
2006,bixler,Bixler,0,26,justice court,94,no complaint,0,white,male,.055555556,1
2008,bixler,Bixler,0,28,district court,81,no complaint,0,white,male,.055555556,1
2006,hardesty,Hardesty,0,7,supreme court,84,no complaint,0,white,male,.075892858,2
2008,hardesty,Hardesty,0,9,supreme court,81,no complaint,0,white,male,.075892858,2
2000,mahan,Mahan,1,1,district court,95,no complaint,0,white,male,.092307694,1
2002,mahan,Mahan,1,3,district court,97,no complaint,0,white,male,.092307694,1
1998,sobel,Sobel,0,7,district court,84,permanently barred from office,1,white,male,.10734463,1.9900113
2000,sobel,Sobel,0,9,district court,70,permanently barred from office,1,white,male,.10734463,1.9669067
2002,sobel,Sobel,0,11,district court,69,permanently barred from office,1,white,male,.10734463,1.9438021
2004,elliott,Elliott,0,1,family court,71,no complaint,0,white,female,.071428575,2
2006,elliott,Elliott,0,3,family court,74,no complaint,0,white,female,.071428575,2
2008,elliott,Elliott,0,5,family court,73,no complaint,0,white,female,.071428575,2
2000,togliatti,Togliatti,1,2,justice court,80,no complaint,0,white,female,.077922076,4
2002,togliatti,Togliatti,1,4,justice court,80,no complaint,0,white,female,.077922076,4
2004,togliatti,Togliatti,1,6,district court,85,no complaint,0,white,female,.077922076,4
2006,togliatti,Togliatti,1,8,district court,85,no complaint,0,white,female,.077922076,4
2008,togliatti,Togliatti,1,10,district court,85,no complaint,0,white,female,.077922076,4
2000,walsh,Walsh,1,1,municipal court,88,no complaint,0,white,female,.16788322,1
2002,walsh,Walsh,1,3,municipal court,51,no complaint,0,white,female,.16788322,1
2004,walsh,Walsh,1,5,municipal court,31,no complaint,0,white,female,.16788322,1
2006,walsh,Walsh,1,7,district court,62,no complaint,0,white,female,.16788322,1
2008,walsh,Walsh,1,9,district court,41,no complaint,0,white,female,.16788322,1
1998,mcgroarty,McGroarty,1,20,district court,90,no complaint,0,white,male,.086021505,2
2000,mcgroarty,McGroarty,1,22,district court,84,no complaint,0,white,male,.086021505,2
2002,mcgroarty,McGroarty,1,24,district court,84,no complaint,0,white,male,.086021505,2
2004,mcgroarty,McGroarty,1,26,district court,69,no complaint,0,white,male,.086021505,2
2006,mcgroarty,McGroarty,1,28,district court,79,no complaint,0,white,male,.086021505,2
1998,provost,Provost,0,2,municipal court,61,no complaint,0,white,male,0,2.1383297
2000,provost,Provost,0,4,municipal court,82,no complaint,0,white,male,0,2.1152253
2002,provost,Provost,0,6,municipal court,72,no complaint,0,white,male,0,2.0921206
1998,bonaventure,Bonaventure,0,22,district court,68,no complaint,0,white,male,.078556262,2
2000,bonaventure,Bonaventure,0,24,district court,77,no complaint,0,white,male,.078556262,2
