age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
47,middle class,163843.84698,bachelor,16,strongly agree,favor,pretty happy,satisfied,male,2,1,1,3,0,1,1,3
72,middle class,59895,bachelor,16,IAP,favor,very happy,more or less,male,3,IAP,0,3,0,1,1,
43,middle class,163843.84698,high school,12,disagree,oppose,pretty happy,satisfied,female,3,1,0,3,1,1,1,1
55,middle class,163843.84698,graduate,18,IAP,favor,very happy,satisfied,female,2,IAP,0,4,1,1,1,
50,middle class,163843.84698,high school,14,agree,favor,pretty happy,not at all sat,male,2,2,1,1,0,1,0,1
23,working class,23595,high school,11,IAP,favor,very happy,more or less,female,6,IAP,0,3,1,1,1,
45,lower class,49005,high school,12,agree,favor,pretty happy,not at all sat,male,5,2,1,3,0,1,1,1
71,middle class,49005,junior college,14,IAP,favor,pretty happy,more or less,male,1,IAP,0,3,0,0,1,
86,middle class,363,high school,12,agree,favor,not too happy,satisfied,female,4,5,0,1,1,0,0,0
33,working class,39930,high school,13,IAP,favor,pretty happy,not at all sat,female,1,IAP,1,4,1,0,1,
56,working class,39930,high school,13,IAP,favor,very happy,more or less,male,3,IAP,0,4,0,1,1,
43,lower class,19965,high school,13,agree,favor,pretty happy,not at all sat,male,0,3,1,3,0,0,1,0
32,working class,32670,lt high school,11,IAP,oppose,pretty happy,more or less,female,4,IAP,0,4,1,0,1,
37,working class,49005,high school,12,IAP,favor,very happy,not at all sat,female,2,IAP,0,4,1,1,1,
25,working class,15427.5,junior college,15,IAP,favor,pretty happy,more or less,female,2,IAP,1,2,1,0,0,
71,middle class,IAP,graduate,19,agree,favor,very happy,NA,male,1,3,0,4,0,1,1,2
75,middle class,23595,high school,12,IAP,favor,not too happy,more or less,female,7,IAP,0,3,1,0,1,
68,middle class,49005,high school,12,IAP,favor,pretty happy,satisfied,female,3,IAP,1,3,1,1,1,
55,middle class,116160,high school,12,agree,oppose,pretty happy,satisfied,male,7,1,1,3,0,1,1,0
46,working class,59895,high school,14,IAP,favor,pretty happy,not at all sat,male,0,IAP,0,2,0,1,0,
58,working class,32670,high school,12,strongly disagree,favor,not too happy,not at all sat,female,0,2,0,2,1,0,0,0
43,working class,87120,bachelor,16,strongly agree,favor,pretty happy,more or less,female,6,2,1,3,1,1,1,2
58,middle class,87120,bachelor,16,IAP,favor,very happy,satisfied,female,1,IAP,1,4,1,0,1,
40,working class,32670,high school,12,IAP,favor,pretty happy,not at all sat,female,2,IAP,1,3,1,0,1,
44,working class,27225,high school,12,disagree,favor,not too happy,not at all sat,female,9,3,0,3,1,1,1,0
36,middle class,23595,graduate,20,IAP,favor,not too happy,more or less,female,1,IAP,1,3,1,0,1,
28,upper class,59895,high school,15,IAP,favor,very happy,satisfied,male,8,IAP,1,2,0,0,0,
33,middle class,39930,graduate,16,strongly agree,favor,not too happy,satisfied,male,1,0,1,3,0,1,1,0
23,middle class,23595,bachelor,17,IAP,favor,pretty happy,satisfied,male,1,IAP,0,4,0,0,1,
70,middle class,59895,high school,12,strongly agree,favor,pretty happy,more or less,female,1,2,0,4,1,1,1,2
41,upper class,163843.84698,graduate,19,IAP,favor,very happy,satisfied,male,1,IAP,1,3,0,1,1,
53,middle class,IAP,bachelor,16,strongly disagree,favor,very happy,satisfied,female,5,0,0,4,1,1,1,0
59,DK,6534,graduate,20,IAP,favor,pretty happy,not at all sat,female,1,IAP,1,4,1,0,1,
35,lower class,9982.5,lt high school,10,agree,favor,pretty happy,not at all sat,female,4,2,0,3,1,0,1,0
26,middle class,15427.5,high school,13,IAP,favor,pretty happy,more or less,male,2,IAP,1,4,0,0,1,
51,lower class,6534,high school,12,IAP,DK,DK,more or less,female,9,IAP,0,2,1,0,0,
27,lower class,1452,high school,11,disagree,favor,pretty happy,not at all sat,female,2,0,0,3,1,0,1,0
30,working class,23595,lt high school,10,IAP,favor,pretty happy,more or less,male,5,IAP,1,2,0,0,0,
39,middle class,363,lt high school,10,strongly agree,favor,not too happy,more or less,female,0,12,0,2,1,0,0,9
60,middle class,IAP,lt high school,11,disagree,oppose,pretty happy,more or less,female,10,4,0,2,1,0,0,1
74,upper class,13612.5,lt high school,6,disagree,favor,not too happy,not at all sat,female,8,10,0,2,1,0,0,1
74,lower class,9982.5,lt high school,10,agree,favor,not too happy,not at all sat,female,8,9,0,2,1,0,0,0
57,working class,72600,bachelor,14,strongly agree,favor,very happy,satisfied,female,4,1,1,3,1,0,1,1
35,working class,59895,bachelor,18,strongly agree,favor,very happy,more or less,female,1,0,0,4,1,1,1,5
36,middle class,39930,graduate,20,strongly agree,favor,pretty happy,more or less,female,2,0,0,4,1,0,1,0
37,middle class,49005,graduate,18,strongly agree,favor,pretty happy,more or less,female,1,0,1,3,1,0,1,0
78,middle class,163843.84698,graduate,19,IAP,favor,very happy,satisfied,female,1,IAP,0,4,1,0,1,
