id,hrs1,prestg80,sphrs1,educ,paeduc,sex,happy,hapmar,health,happy7,satfam7
1,35,66,,13,16,FEMALE,PRETTY HAPPY,,FAIR,,
2,40,44,,14,12,MALE,VERY HAPPY,,,,
3,,29,,9,,FEMALE,PRETTY HAPPY,,,,
4,24,46,,12,,FEMALE,VERY HAPPY,,EXCELLENT,,
5,,,,14,16,MALE,PRETTY HAPPY,,GOOD,,
6,37,47,40,16,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
7,40,42,,12,11,FEMALE,PRETTY HAPPY,,GOOD,,
8,,52,,14,,FEMALE,,,FAIR,,
9,38,31,,16,12,FEMALE,PRETTY HAPPY,,GOOD,,
10,35,66,,18,,FEMALE,VERY HAPPY,,FAIR,,
11,,24,,9,2,FEMALE,NOT TOO HAPPY,,GOOD,,
12,,49,,12,12,MALE,PRETTY HAPPY,,POOR,,
13,,51,,16,,MALE,NOT TOO HAPPY,,EXCELLENT,,
14,43,42,,16,,MALE,PRETTY HAPPY,,,,
15,,36,40,13,15,FEMALE,VERY HAPPY,VERY HAPPY,,,
16,40,51,,18,,FEMALE,,,EXCELLENT,,
17,,39,,6,,MALE,VERY HAPPY,,GOOD,,
18,,,,11,,FEMALE,PRETTY HAPPY,,,,
19,28,51,,13,,FEMALE,PRETTY HAPPY,,FAIR,,
20,,,,14,,FEMALE,,,EXCELLENT,,
21,40,50,,16,,FEMALE,PRETTY HAPPY,,,,
22,,31,,12,,MALE,NOT TOO HAPPY,,GOOD,,
23,,29,,11,,FEMALE,,,FAIR,,
24,50,47,,15,,MALE,,,FAIR,,
25,,,,14,,FEMALE,,,GOOD,,
26,,49,,18,,MALE,,,FAIR,,
27,,29,40,5,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,POOR,,
28,37,40,,14,,MALE,,,GOOD,,
29,,34,40,12,,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
30,,41,,12,,MALE,,,FAIR,,
31,40,36,,14,12,FEMALE,PRETTY HAPPY,,FAIR,,
32,,53,,12,,FEMALE,,,POOR,,
33,40,36,40,12,,FEMALE,,,POOR,,
34,,25,,17,,FEMALE,PRETTY HAPPY,,EXCELLENT,,
35,40,39,40,12,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
36,30,51,,14,,FEMALE,,,GOOD,,
37,20,64,40,15,,FEMALE,,,GOOD,,
38,40,42,32,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
39,35,52,,18,,FEMALE,,,GOOD,,
40,20,46,,14,,FEMALE,NOT TOO HAPPY,,,,
41,55,45,,14,8,FEMALE,PRETTY HAPPY,,,,
42,30,51,,6,,MALE,,,FAIR,,
43,,51,32,15,18,MALE,PRETTY HAPPY,VERY HAPPY,,,
44,,54,,10,,MALE,PRETTY HAPPY,,,,
45,,51,,16,,FEMALE,,,EXCELLENT,,
46,,,,,,FEMALE,,,EXCELLENT,,
47,,39,15,14,14,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
48,40,24,40,12,,MALE,,,GOOD,,
49,,,,11,,MALE,,,GOOD,,
50,,22,12,10,,FEMALE,,,FAIR,,
51,40,42,,12,12,FEMALE,PRETTY HAPPY,,,,
52,,64,,14,12,FEMALE,PRETTY HAPPY,,,,
53,,43,30,13,16,FEMALE,VERY HAPPY,PRETTY HAPPY,EXCELLENT,,
54,55,54,,18,19,FEMALE,VERY HAPPY,,EXCELLENT,,
55,60,49,,18,12,FEMALE,PRETTY HAPPY,,,,
56,,65,,20,13,FEMALE,PRETTY HAPPY,,FAIR,,
57,40,36,,18,18,MALE,VERY HAPPY,,EXCELLENT,,
58,,61,,17,14,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
59,40,31,,16,18,MALE,PRETTY HAPPY,,FAIR,,
60,40,44,,14,,FEMALE,,,GOOD,,
61,40,49,,13,,MALE,PRETTY HAPPY,,,,
62,40,36,,9,0,MALE,PRETTY HAPPY,,EXCELLENT,,
63,40,25,,0,,MALE,,,GOOD,,
64,,39,,4,,MALE,,,FAIR,,
65,20,36,40,12,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
66,,64,40,16,20,FEMALE,VERY HAPPY,VERY HAPPY,,,
67,35,32,,12,14,MALE,PRETTY HAPPY,,GOOD,,
68,,,40,10,,FEMALE,VERY HAPPY,VERY HAPPY,,,
69,,,,12,11,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
70,40,24,,12,,MALE,PRETTY HAPPY,,EXCELLENT,,
