country,countryid,year,regime,old,magnitude,districts,eneg,enep,enpres,newdem,proximity,uppertier
Albania,143,1992,0,No,1,100,1.1069289,2.1900001,0,Yes,0,28.57
Albania,143,1996,0,No,1,115,1.1069289,2.7850001,0,No,0,17.860001
Albania,143,1997,0,No,1,115,1.1069289,2.8699999,0,No,0,25.799999
Andorra,195,1993,0,No,2,7,,,0,Yes,0,50
Andorra,195,1997,0,No,2,7,,2.6199999,0,No,0,50
Antigua,144,1984,0,Yes,1,17,,1.9400001,0,Yes,0,0
Antigua,144,1989,0,Yes,1,17,,1.98,0,No,0,0
Antigua,144,1994,0,Yes,1,17,,2.0699999,0,Yes,0,0
Antigua,144,1999,0,Yes,1,17,,2.095,0,No,0,0
Argentina,66,1946,0,Yes,10.53,15,1.3421021,5.75,2.0899999,Yes,1,0
Argentina,66,1948,0,Yes,5.27,15,1.3421021,,2.0899999,No,0.2,0
Argentina,66,1951,0,Yes,10.53,15,1.3421021,1.97,1.96,No,1,0
Argentina,66,1954,0,Yes,4.5599999,17,1.3421021,1.9299999,1.96,No,0.2,0
Argentina,66,1958,0,Yes,8.1300001,23,1.3421021,2.885,2.6500001,Yes,1,0
Argentina,66,1960,0,Yes,4.1700001,23,1.3421021,5.4850001,2.6500001,No,0.2,0
Argentina,66,1963,0,Yes,8.3500004,23,1.3421021,5.98,3.9000001,Yes,1,0
Argentina,66,1965,0,Yes,4.1700001,23,1.3421021,5.1550002,3.9000001,No,0.33000001,0
Argentina,66,1973,0,Yes,10.13,24,1.3421021,3.1900001,2.6600001,Yes,1,0
Argentina,66,1983,0,Yes,10.58,24,1.3421021,2.6300001,2.3,Yes,1,0
Argentina,66,1985,0,Yes,5.29,24,1.3421021,4.2399998,2.3,No,0.33000001,0
Argentina,66,1987,0,Yes,5.52,23,1.3421021,3.1400001,2.3,No,0.33000001,0
Argentina,66,1989,0,Yes,5.29,24,1.3421021,3.3499999,2.9100001,No,1,0
Argentina,66,1991,0,Yes,5.29,24,1.3421021,3.5699999,2.9100001,No,0.33000001,0
Argentina,66,1993,0,Yes,5.29,24,1.3421021,3.3699999,2.9100001,No,0.33000001,0
Argentina,66,1995,0,Yes,5.4200001,24,1.3421021,3.5799999,2.75,No,1,0
Argentina,66,1997,0,Yes,5.29,24,1.3421021,3.6500001,2.75,No,0,0
Argentina,66,1999,0,Yes,5.4200001,24,1.3421021,3.2249999,2.5599999,No,1,0
Armenia,145,1995,0,No,1,150,1.1544681,4.2350001,1.39,Yes,0.60000002,21.049999
Armenia,145,1999,0,No,1,75,1.1544681,4.77,3.6400001,No,0.60000002,42.740002
Australia,129,1946,0,Yes,1,75,1.174404,2.74,0,No,0,0
Australia,129,1949,0,Yes,1,123,1.174404,2.6400001,0,No,0,0
Australia,129,1951,0,Yes,1,123,1.174404,2.49,0,No,0,0
Australia,129,1954,0,Yes,1,123,1.174404,2.46,0,No,0,0
Australia,129,1955,0,Yes,1,124,1.174404,2.7349999,0,No,0,0
Australia,129,1958,0,Yes,1,124,1.174404,2.97,0,No,0,0
Australia,129,1961,0,Yes,1,124,1.174404,2.8099999,0,No,0,0
Australia,129,1963,0,Yes,1,124,1.174404,2.79,0,No,0,0
Australia,129,1966,0,Yes,1,124,1.174404,2.98,0,No,0,0
Australia,129,1969,0,Yes,1,125,1.174404,2.8299999,0,No,0,0
Australia,129,1972,0,Yes,1,125,1.174404,2.77,0,No,0,0
Australia,129,1974,0,Yes,1,125,1.174404,2.6600001,0,No,0,0
Australia,129,1975,0,Yes,1,127,1.174404,2.7,0,No,0,0
Australia,129,1977,0,Yes,1,124,1.174404,3.115,0,No,0,0
Australia,129,1980,0,Yes,1,125,1.174404,2.8099999,0,No,0,0
Australia,129,1983,0,Yes,1,125,1.174404,2.6700001,0,No,0,0
Australia,129,1984,0,Yes,1,148,1.174404,2.79,0,No,0,0
Australia,129,1987,0,Yes,1,148,1.174404,3.02,0,No,0,0
Australia,129,1990,0,Yes,1,148,1.174404,3.3399999,0,No,0,0
Australia,129,1993,0,Yes,1,147,1.174404,2.8800001,0,No,0,0
Australia,129,1996,0,Yes,1,148,1.174404,3.21,0,No,0,0
Australia,129,1998,0,Yes,1,148,1.174404,3.46,0,No,0,0
Austria,101,1949,0,Yes,6.5999999,25,1.143682,2.78,0,No,0,12.73
Austria,101,1953,0,Yes,6.5999999,25,1.143682,2.76,2.9300001,No,0.33000001,14.55
Austria,101,1956,0,Yes,6.5999999,25,1.143682,2.48,2.9300001,No,0.67000002,10.91
Austria,101,1959,0,Yes,6.5999999,25,1.143682,2.48,2,No,0.33000001,12.12
Austria,101,1962,0,Yes,6.5999999,25,1.143682,2.47,2,No,0.67000002,10.3
